Season,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamReadCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals
2012-2013,02/12/12,,Norwich,Sunderland,2,1,H,2,1,H,P Dowd,7,16,5,6,2,6,11,16,0,2,0,0,2.1,3.3,3.6,,,,,,,,,,,,
2012-2013,03/12/12,,Newcastle,Wigan,3,0,H,2,0,H,M Jones,16,9,8,4,4,4,12,14,1,3,0,1,2,3.4,3.75,,,,,,,,,,,,
2012-2013,08/12/12,,Arsenal,West Brom,2,0,H,1,0,H,M Jones,16,7,7,2,7,4,11,12,2,3,0,0,1.5,4.33,6.5,,,,,,,,,,,,
2012-2013,08/12/12,,Aston Villa,Stoke,0,0,D,0,0,D,R East,9,1,5,0,3,2,8,13,0,1,0,1,2.4,3.2,3.1,,,,,,,,,,,,
2012-2013,08/12/12,,Southampton,Reading,1,0,H,0,0,D,J Moss,18,6,9,2,7,4,11,10,0,0,0,0,1.91,3.6,4,,,,,,,,,,,,
2012-2013,08/12/12,,Sunderland,Chelsea,1,3,A,0,2,A,M Halsey,14,11,10,5,11,1,11,14,1,3,0,0,4.75,3.5,1.8,,,,,,,,,,,,
2012-2013,08/12/12,,Swansea,Norwich,3,4,A,0,3,A,H Webb,21,10,10,8,6,2,12,9,2,1,0,0,1.8,3.6,4.5,,,,,,,,,,,,
2012-2013,08/12/12,,Wigan,QPR,2,2,D,1,1,D,P Dowd,14,8,9,4,11,4,7,11,0,1,0,0,2.3,3.4,3.1,,,,,,,,,,,,
2012-2013,09/12/12,,Everton,Tottenham,2,1,H,0,0,D,K Friend,17,8,11,6,4,4,10,9,2,2,0,0,2,3.5,3.75,,,,,,,,,,,,
2012-2013,09/12/12,,Man City,Man United,2,3,A,0,2,A,M Atkinson,16,8,11,3,8,2,11,9,4,3,0,0,2.2,3.5,3.2,,,,,,,,,,,,
2012-2013,09/12/12,,West Ham,Liverpool,2,3,A,2,1,H,L Probert,9,16,6,8,2,5,12,10,1,2,0,0,3,3.3,2.38,,,,,,,,,,,,
2012-2013,10/12/12,,Fulham,Newcastle,2,1,H,1,0,H,L Mason,16,20,7,13,5,4,13,11,0,0,0,0,1.91,3.6,4,,,,,,,,,,,,
2012-2013,11/12/12,,Sunderland,Reading,3,0,H,2,0,H,N Swarbrick,16,12,11,5,6,8,8,11,2,1,0,0,2,3.5,3.75,,,,,,,,,,,,
2012-2013,15/12/12,,Liverpool,Aston Villa,1,3,A,0,2,A,N Swarbrick,26,9,17,6,7,2,4,11,1,2,0,0,1.36,4.75,9,,,,,,,,,,,,
2012-2013,15/12/12,,Man United,Sunderland,3,1,H,2,0,H,C Foy,15,13,6,10,9,9,13,10,0,0,0,0,1.2,6.5,15,,,,,,,,,,,,
2012-2013,15/12/12,,Newcastle,Man City,1,3,A,0,2,A,A Marriner,17,16,8,10,12,7,9,16,3,2,0,0,5.5,3.75,1.67,,,,,,,,,,,,
2012-2013,15/12/12,,Norwich,Wigan,2,1,H,1,0,H,L Probert,16,12,10,6,7,3,7,4,3,1,0,0,2.2,3.4,3.25,,,,,,,,,,,,
2012-2013,15/12/12,,QPR,Fulham,2,1,H,0,0,D,M Atkinson,19,6,9,3,3,3,10,14,1,2,0,0,2.4,3.4,2.88,,,,,,,,,,,,
2012-2013,15/12/12,,Stoke,Everton,1,1,D,0,1,A,M Halsey,14,9,8,5,4,8,11,13,1,0,0,0,3.1,3.2,2.4,,,,,,,,,,,,
2012-2013,16/12/12,,Tottenham,Swansea,1,0,H,0,0,D,M Dean,24,4,16,0,9,3,12,8,2,3,0,0,1.62,4,5.5,,,,,,,,,,,,
2012-2013,16/12/12,,West Brom,West Ham,0,0,D,0,0,D,P Dowd,19,10,10,2,8,2,12,9,3,3,0,0,2,3.5,3.75,,,,,,,,,,,,
2012-2013,17/12/12,,Reading,Arsenal,2,5,A,0,3,A,A Taylor,7,25,5,17,3,7,8,4,1,1,0,0,5.5,4,1.62,,,,,,,,,,,,
2012-2013,22/12/12,,Liverpool,Fulham,4,0,H,2,0,H,M Clattenburg,22,7,12,6,8,2,13,6,1,2,0,0,1.53,4,6.5,,,,,,,,,,,,
2012-2013,22/12/12,,Man City,Reading,1,0,H,0,0,D,M Dean,17,6,10,1,12,3,11,15,2,3,0,0,1.14,8,19,,,,,,,,,,,,
2012-2013,22/12/12,,Newcastle,QPR,1,0,H,0,0,D,K Friend,18,5,8,4,10,3,9,16,3,2,0,0,2.1,3.4,3.5,,,,,,,,,,,,
2012-2013,22/12/12,,Southampton,Sunderland,0,1,A,0,1,A,H Webb,13,10,7,6,8,5,11,15,0,3,0,0,2,3.5,3.75,,,,,,,,,,,,
2012-2013,22/12/12,,Tottenham,Stoke,0,0,D,0,0,D,L Mason,21,4,14,2,11,4,8,11,2,5,0,0,1.62,3.75,6,,,,,,,,,,,,
2012-2013,22/12/12,,West Brom,Norwich,2,1,H,1,1,D,M Atkinson,12,10,8,4,6,5,14,9,1,1,0,0,1.91,3.6,4,,,,,,,,,,,,
2012-2013,22/12/12,,West Ham,Everton,1,2,A,1,0,H,A Taylor,6,15,5,8,3,5,12,8,1,0,1,1,2.88,3.25,2.5,,,,,,,,,,,,
2012-2013,22/12/12,,Wigan,Arsenal,0,1,A,0,0,D,J Moss,13,10,5,8,4,4,14,8,1,1,0,0,4.75,3.75,1.73,,,,,,,,,,,,
2012-2013,23/12/12,,Chelsea,Aston Villa,8,0,H,3,0,H,P Dowd,24,7,18,4,8,4,6,11,0,0,0,0,1.33,5.5,8.5,,,,,,,,,,,,
2012-2013,23/12/12,,Swansea,Man United,1,1,D,1,1,D,M Oliver,14,19,10,16,3,6,11,16,2,4,0,0,5,4,1.67,,,,,,,,,,,,
2012-2013,26/12/12,,Aston Villa,Tottenham,0,4,A,0,0,D,M Clattenburg,4,20,1,16,2,16,11,7,1,0,0,0,3.75,3.5,2,,,,,,,,,,,,
2012-2013,26/12/12,,Everton,Wigan,2,1,H,0,0,D,L Mason,17,10,9,6,11,2,10,11,1,3,0,0,1.44,4.5,7,,,,,,,,,,,,
2012-2013,26/12/12,,Fulham,Southampton,1,1,D,1,0,H,M Oliver,10,7,2,3,3,5,14,12,3,0,0,0,1.85,3.6,4.2,,,,,,,,,,,,
2012-2013,26/12/12,,Man United,Newcastle,4,3,H,1,2,A,M Dean,16,16,10,11,2,2,12,16,3,3,0,0,1.22,6.5,13,,,,,,,,,,,,
2012-2013,26/12/12,,Norwich,Chelsea,0,1,A,0,1,A,J Moss,8,20,4,11,5,7,7,7,1,1,0,0,6,3.75,1.62,,,,,,,,,,,,
2012-2013,26/12/12,,QPR,West Brom,1,2,A,0,1,A,C Foy,18,12,8,6,14,9,9,10,1,0,0,0,2.2,3.4,3.25,,,,,,,,,,,,
2012-2013,26/12/12,,Reading,Swansea,0,0,D,0,0,D,M Jones,3,10,2,4,6,4,14,17,2,1,0,0,2.9,3.4,2.38,,,,,,,,,,,,
2012-2013,26/12/12,,Stoke,Liverpool,3,1,H,2,1,H,H Webb,7,12,6,6,6,8,11,5,3,1,0,0,3.4,3.2,2.25,,,,,,,,,,,,
2012-2013,26/12/12,,Sunderland,Man City,1,0,H,0,0,D,K Friend,12,19,6,12,3,7,14,16,1,3,0,0,6.5,4,1.53,,,,,,,,,,,,
2012-2013,29/12/12,,Arsenal,Newcastle,7,3,H,1,1,D,C Foy,16,10,12,8,5,6,8,10,0,1,0,0,1.44,4.5,7,,,,,,,,,,,,
2012-2013,29/12/12,,Aston Villa,Wigan,0,3,A,0,1,A,K Friend,11,9,4,6,4,3,16,8,3,2,0,0,2.4,3.25,3,,,,,,,,,,,,
2012-2013,29/12/12,,Fulham,Swansea,1,2,A,0,1,A,A Marriner,22,10,13,9,9,8,14,12,2,1,0,0,2.1,3.4,3.5,,,,,,,,,,,,
2012-2013,29/12/12,,Man United,West Brom,2,0,H,1,0,H,J Moss,17,13,14,9,9,6,9,7,1,0,0,0,1.3,5.5,10,,,,,,,,,,,,
2012-2013,29/12/12,,Norwich,Man City,3,4,A,1,2,A,M Jones,13,13,8,9,4,9,8,10,3,1,0,1,6,4,1.57,,,,,,,,,,,,
2012-2013,29/12/12,,Reading,West Ham,1,0,H,1,0,H,M Oliver,3,11,2,3,2,2,17,10,3,4,0,0,2.88,3.25,2.5,,,,,,,,,,,,
2012-2013,29/12/12,,Stoke,Southampton,3,3,D,1,3,A,M Clattenburg,10,8,8,7,7,4,6,9,1,2,1,0,1.8,3.5,4.75,,,,,,,,,,,,
2012-2013,29/12/12,,Sunderland,Tottenham,1,2,A,1,0,H,L Mason,9,18,6,14,3,8,9,15,1,3,0,0,3.5,3.4,2.1,,,,,,,,,,,,
2012-2013,30/12/12,,Everton,Chelsea,1,2,A,1,1,D,H Webb,12,15,6,10,7,7,14,12,2,3,0,0,2.88,3.3,2.5,,,,,,,,,,,,
2012-2013,30/12/12,,QPR,Liverpool,0,3,A,0,3,A,A Taylor,14,16,7,11,1,9,10,8,2,1,0,0,4,3.5,1.91,,,,,,,,,,,,
2012-2013,01/01/13,,Man City,Stoke,3,0,H,1,0,H,M Oliver,17,4,9,3,7,2,6,9,2,2,0,0,1.29,5.5,11,,,,,,,,,,,,
2012-2013,01/01/13,,Southampton,Arsenal,1,1,D,1,1,D,L Probert,9,6,6,4,3,3,9,6,2,0,0,0,5,3.75,1.7,,,,,,,,,,,,
2012-2013,01/01/13,,Swansea,Aston Villa,2,2,D,1,1,D,M Halsey,23,8,13,6,3,2,7,15,0,4,0,0,1.57,4,6,,,,,,,,,,,,
2012-2013,01/01/13,,Tottenham,Reading,3,1,H,1,1,D,H Webb,30,7,20,4,12,3,9,9,0,0,0,0,1.33,5,10,,,,,,,,,,,,
2012-2013,01/01/13,,West Brom,Fulham,1,2,A,0,1,A,M Dean,17,10,10,5,10,5,14,6,0,0,0,0,2,3.5,3.75,,,,,,,,,,,,
2012-2013,01/01/13,,West Ham,Norwich,2,1,H,2,0,H,M Clattenburg,14,9,8,3,11,3,14,7,0,0,0,0,2.1,3.4,3.5,,,,,,,,,,,,
2012-2013,01/01/13,,Wigan,Man United,0,4,A,0,2,A,A Marriner,7,14,3,9,1,6,13,5,1,1,0,0,6,4.2,1.53,,,,,,,,,,,,
2012-2013,02/01/13,,Chelsea,QPR,0,1,A,0,0,D,L Mason,23,8,11,5,14,2,12,8,1,1,0,0,1.2,6.5,15,,,,,,,,,,,,
2012-2013,02/01/13,,Liverpool,Sunderland,3,0,H,2,0,H,P Dowd,27,6,16,5,9,5,8,5,0,1,0,0,1.4,4.5,8.5,,,,,,,,,,,,
2012-2013,02/01/13,,Newcastle,Everton,1,2,A,1,1,D,M Atkinson,14,7,11,6,4,6,21,7,3,2,0,0,3,3.4,2.38,,,,,,,,,,,,
2012-2013,12/01/13,,Aston Villa,Southampton,0,1,A,0,1,A,M Halsey,16,11,10,4,9,5,9,6,1,1,0,0,2.55,3.5,2.9,,,,,,,,,,,,
2012-2013,12/01/13,,Everton,Swansea,0,0,D,0,0,D,P Dowd,16,4,8,2,7,1,13,9,1,4,0,0,1.57,4.2,6.5,,,,,,,,,,,,
2012-2013,12/01/13,,Fulham,Wigan,1,1,D,1,0,H,M Clattenburg,14,15,5,6,6,8,8,15,0,1,0,0,2.05,3.5,4,,,,,,,,,,,,
2012-2013,12/01/13,,Norwich,Newcastle,0,0,D,0,0,D,A Taylor,12,9,3,4,5,4,5,6,0,1,0,0,2.2,3.6,3.4,,,,,,,,,,,,
2012-2013,12/01/13,,QPR,Tottenham,0,0,D,0,0,D,L Probert,4,16,1,8,2,6,10,7,1,1,0,0,4.5,3.8,1.85,,,,,,,,,,,,
2012-2013,12/01/13,,Reading,West Brom,3,2,H,0,1,A,K Friend,7,11,7,6,8,4,6,13,1,1,0,0,3,3.4,2.5,,,,,,,,,,,,
2012-2013,12/01/13,,Stoke,Chelsea,0,4,A,0,1,A,A Marriner,11,11,5,9,6,7,13,9,1,0,0,0,4.33,3.5,1.95,,,,,,,,,,,,
2012-2013,12/01/13,,Sunderland,West Ham,3,0,H,1,0,H,N Swarbrick,18,9,14,4,4,6,10,13,0,3,0,0,2.38,3.3,3.3,,,,,,,,,,,,
2012-2013,13/01/13,,Arsenal,Man City,0,2,A,0,2,A,M Dean,9,16,4,9,2,7,11,18,2,4,1,1,2.63,3.5,2.8,,,,,,,,,,,,
2012-2013,13/01/13,,Man United,Liverpool,2,1,H,1,0,H,H Webb,15,12,10,5,3,1,14,16,1,4,0,0,1.91,3.8,4.2,,,,,,,,,,,,
2012-2013,16/01/13,,Chelsea,Southampton,2,2,D,2,0,H,M Oliver,19,7,10,3,4,3,10,11,1,0,0,0,1.25,6.5,15,,,,,,,,,,,,
2012-2013,19/01/13,,Liverpool,Norwich,5,0,H,2,0,H,M Oliver,17,5,10,3,10,4,10,8,1,1,0,0,1.33,5.5,10.5,,,,,,,,,,,,
2012-2013,19/01/13,,Man City,Fulham,2,0,H,1,0,H,J Moss,20,3,11,0,1,2,12,6,1,2,0,0,1.25,6.5,14,,,,,,,,,,,,
2012-2013,19/01/13,,Newcastle,Reading,1,2,A,1,0,H,A Marriner,15,6,10,2,6,2,9,10,2,3,0,0,1.75,4,5,,,,,,,,,,,,
2012-2013,19/01/13,,Swansea,Stoke,3,1,H,0,0,D,M Dean,12,7,6,2,7,6,11,9,0,0,0,0,2.2,3.4,3.6,,,,,,,,,,,,
2012-2013,19/01/13,,West Brom,Aston Villa,2,2,D,0,2,A,L Probert,25,11,9,7,8,8,8,10,3,3,0,0,1.75,4,5,,,,,,,,,,,,
2012-2013,19/01/13,,West Ham,QPR,1,1,D,0,1,A,H Webb,22,9,13,6,12,2,6,11,1,0,0,0,2.1,3.5,3.75,,,,,,,,,,,,
2012-2013,19/01/13,,Wigan,Sunderland,2,3,A,1,3,A,A Taylor,20,10,11,5,9,0,10,16,3,2,0,0,2.15,3.4,3.8,,,,,,,,,,,,
2012-2013,20/01/13,,Chelsea,Arsenal,2,1,H,2,0,H,M Atkinson,13,12,8,8,3,9,10,11,2,1,0,0,1.91,3.6,4,,,,,,,,,,,,
2012-2013,20/01/13,,Tottenham,Man United,1,1,D,0,1,A,C Foy,23,6,18,4,9,4,7,14,1,4,0,0,2.9,3.6,2.5,,,,,,,,,,,,
2012-2013,21/01/13,,Southampton,Everton,0,0,D,0,0,D,N Swarbrick,14,10,11,7,10,6,14,11,2,1,0,0,3.6,3.5,2.05,,,,,,,,,,,,
2012-2013,23/01/13,,Arsenal,West Ham,5,1,H,1,1,D,A Marriner,23,7,17,5,13,5,9,10,0,1,0,0,1.44,4.75,8,,,,,,,,,,,,
2012-2013,29/01/13,,Aston Villa,Newcastle,1,2,A,0,2,A,M Dean,10,10,4,7,3,4,16,9,5,2,0,0,2.9,3.4,2.6,,,,,,,,,,,,
2012-2013,29/01/13,,QPR,Man City,0,0,D,0,0,D,P Dowd,5,15,3,7,2,10,9,9,2,2,0,0,7.5,4.5,1.5,,,,,,,,,,,,
2012-2013,29/01/13,,Stoke,Wigan,2,2,D,1,0,H,M Jones,9,11,4,6,0,1,12,10,1,1,0,0,2.2,3.3,3.75,,,,,,,,,,,,
2012-2013,29/01/13,,Sunderland,Swansea,0,0,D,0,0,D,A Marriner,4,18,2,8,3,4,11,11,1,2,0,0,2.5,3.4,3,,,,,,,,,,,,
2012-2013,30/01/13,,Arsenal,Liverpool,2,2,D,0,1,A,K Friend,14,10,6,5,8,6,9,11,3,1,0,0,2.4,3.5,3.1,,,,,,,,,,,,
2012-2013,30/01/13,,Everton,West Brom,2,1,H,2,0,H,M Oliver,11,7,4,4,5,2,9,14,0,2,0,0,1.6,4.1,6.5,,,,,,,,,,,,
2012-2013,30/01/13,,Fulham,West Ham,3,1,H,1,0,H,C Foy,13,8,6,4,2,8,8,9,2,0,0,0,2.2,3.5,3.5,,,,,,,,,,,,
2012-2013,30/01/13,,Man United,Southampton,2,1,H,2,1,H,L Mason,11,21,7,10,4,8,10,10,2,1,0,0,1.25,6.5,14,,,,,,,,,,,,
2012-2013,30/01/13,,Norwich,Tottenham,1,1,D,1,0,H,N Swarbrick,8,12,4,7,3,6,13,14,4,1,0,0,4.75,3.75,1.83,,,,,,,,,,,,
2012-2013,30/01/13,,Reading,Chelsea,2,2,D,0,1,A,M Halsey,5,14,2,5,0,6,8,20,1,2,0,0,7.5,4.5,1.5,,,,,,,,,,,,
2012-2013,02/02/13,,Arsenal,Stoke,1,0,H,0,0,D,C Foy,15,6,9,2,11,1,3,13,0,3,0,0,1.44,4.5,9,,,,,,,,,,,,
2012-2013,02/02/13,,Everton,Aston Villa,3,3,D,1,2,A,M Jones,22,8,13,4,15,2,6,23,1,4,0,0,1.4,5,9,,,,,,,,,,,,
2012-2013,02/02/13,,Fulham,Man United,0,1,A,0,0,D,K Friend,15,13,8,8,5,8,8,15,1,1,0,0,5.5,4.2,1.65,,,,,,,,,,,,
2012-2013,02/02/13,,Newcastle,Chelsea,3,2,H,1,0,H,H Webb,19,12,13,6,5,4,11,5,2,3,0,0,4,3.6,2,,,,,,,,,,,,
2012-2013,02/02/13,,QPR,Norwich,0,0,D,0,0,D,J Moss,15,14,7,9,10,8,6,20,2,5,0,0,1.95,3.6,4.33,,,,,,,,,,,,
2012-2013,02/02/13,,Reading,Sunderland,2,1,H,1,1,D,L Mason,9,10,5,6,6,8,12,15,1,3,0,0,2.5,3.4,3,,,,,,,,,,,,
2012-2013,02/02/13,,West Ham,Swansea,1,0,H,0,0,D,L Probert,18,11,9,7,5,3,7,9,1,1,0,0,2.4,3.4,3.2,,,,,,,,,,,,
2012-2013,02/02/13,,Wigan,Southampton,2,2,D,1,0,H,A Marriner,5,15,3,7,8,5,6,16,0,2,0,0,2.2,3.5,3.5,,,,,,,,,,,,
2012-2013,03/02/13,,Man City,Liverpool,2,2,D,1,1,D,A Taylor,9,21,5,12,9,10,14,7,2,4,0,0,1.83,3.9,4.5,,,,,,,,,,,,
2012-2013,03/02/13,,West Brom,Tottenham,0,1,A,0,0,D,M Clattenburg,4,21,3,13,2,17,9,9,1,0,1,0,3.6,3.4,2.2,,,,,,,,,,,,
2012-2013,09/02/13,,Chelsea,Wigan,4,1,H,1,0,H,M Dean,25,13,17,10,10,6,9,13,1,2,0,0,1.36,5.5,9.5,,,,,,,,,,,,
2012-2013,09/02/13,,Norwich,Fulham,0,0,D,0,0,D,H Webb,15,7,8,5,3,4,10,16,2,2,0,0,2.3,3.4,3.4,,,,,,,,,,,,
2012-2013,09/02/13,,Southampton,Man City,3,1,H,2,1,H,M Atkinson,13,7,7,4,6,6,9,13,1,2,0,0,5.75,4,1.67,,,,,,,,,,,,
2012-2013,09/02/13,,Stoke,Reading,2,1,H,0,0,D,M Oliver,13,5,10,4,11,3,7,4,2,0,0,0,1.91,3.5,4.6,,,,,,,,,,,,
2012-2013,09/02/13,,Sunderland,Arsenal,0,1,A,0,1,A,A Taylor,12,18,7,9,11,2,6,13,3,2,0,1,4.5,3.6,1.91,,,,,,,,,,,,
2012-2013,09/02/13,,Swansea,QPR,4,1,H,2,0,H,N Swarbrick,13,14,12,8,5,2,10,9,1,3,0,0,1.83,3.75,4.75,,,,,,,,,,,,
2012-2013,09/02/13,,Tottenham,Newcastle,2,1,H,1,1,D,P Dowd,16,9,9,7,11,5,5,11,0,2,0,0,1.67,4,5.75,,,,,,,,,,,,
2012-2013,10/02/13,,Aston Villa,West Ham,2,1,H,0,0,D,M Clattenburg,7,13,2,7,4,10,15,12,3,2,0,0,2.63,3.4,2.88,,,,,,,,,,,,
2012-2013,10/02/13,,Man United,Everton,2,0,H,2,0,H,M Halsey,10,9,6,8,7,6,12,9,0,2,0,0,1.75,3.9,5,,,,,,,,,,,,
2012-2013,11/02/13,,Liverpool,West Brom,0,2,A,0,0,D,J Moss,23,4,14,3,13,5,9,9,1,4,0,0,1.4,5,9,,,,,,,,,,,,
2012-2013,17/02/13,,Liverpool,Swansea,5,0,H,1,0,H,H Webb,33,4,18,3,10,1,6,9,0,1,0,0,1.57,4.4,6,,,,,,,,,,,,
2012-2013,23/02/13,,Arsenal,Aston Villa,2,1,H,1,0,H,M Atkinson,24,5,14,3,12,3,7,12,1,2,0,0,1.33,5.5,11,,,,,,,,,,,,
2012-2013,23/02/13,,Fulham,Stoke,1,0,H,1,0,H,L Probert,20,7,9,2,9,4,4,9,1,3,0,0,2.2,3.3,3.75,,,,,,,,,,,,
2012-2013,23/02/13,,Norwich,Everton,2,1,H,0,1,A,L Mason,10,11,9,5,7,5,15,10,1,1,0,0,3.8,3.5,2.1,,,,,,,,,,,,
2012-2013,23/02/13,,QPR,Man United,0,2,A,0,1,A,A Taylor,12,13,5,8,2,4,10,6,0,0,0,0,7,4.33,1.53,,,,,,,,,,,,
2012-2013,23/02/13,,Reading,Wigan,0,3,A,0,2,A,P Dowd,7,14,1,8,2,9,9,11,1,1,1,0,2.63,3.4,2.88,,,,,,,,,,,,
2012-2013,23/02/13,,West Brom,Sunderland,2,1,H,1,0,H,R East,17,10,7,6,5,5,13,9,2,1,0,0,2.05,3.5,4,,,,,,,,,,,,
2012-2013,24/02/13,,Man City,Chelsea,2,0,H,0,0,D,A Marriner,15,4,11,1,6,6,19,5,3,1,0,0,1.95,3.6,4.33,,,,,,,,,,,,
2012-2013,24/02/13,,Newcastle,Southampton,4,2,H,2,1,H,C Foy,11,11,5,7,7,3,12,12,0,4,0,0,2.2,3.5,3.2,,,,,,,,,,,,
2012-2013,25/02/13,,West Ham,Tottenham,2,3,A,1,1,D,H Webb,8,25,6,16,6,12,12,7,4,1,0,0,3.6,3.5,2.15,,,,,,,,,,,,
2012-2013,02/03/13,,Chelsea,West Brom,1,0,H,1,0,H,K Friend,25,8,19,4,9,7,12,16,1,2,0,0,1.4,5,9,,,,,,,,,,,,
2012-2013,02/03/13,,Everton,Reading,3,1,H,1,0,H,A Taylor,18,12,12,6,9,10,8,8,1,1,0,0,1.38,5,10,,,,,,,,,,,,
2012-2013,02/03/13,,Man United,Norwich,4,0,H,1,0,H,N Swarbrick,13,1,10,1,7,3,5,15,0,4,0,0,1.33,5.5,11,,,,,,,,,,,,
2012-2013,02/03/13,,Southampton,QPR,1,2,A,1,1,D,H Webb,17,5,9,3,6,3,7,15,1,3,0,0,1.85,3.8,4.5,,,,,,,,,,,,
2012-2013,02/03/13,,Stoke,West Ham,0,1,A,0,1,A,J Moss,10,10,2,7,4,2,12,12,1,2,0,0,2.15,3.25,4,,,,,,,,,,,,
2012-2013,02/03/13,,Sunderland,Fulham,2,2,D,1,2,A,M Halsey,12,7,6,4,7,3,9,14,1,3,0,0,2.4,3.3,3.3,,,,,,,,,,,,
2012-2013,02/03/13,,Swansea,Newcastle,1,0,H,0,0,D,C Pawson,10,14,7,7,7,7,9,17,0,2,0,0,2.1,3.6,3.75,,,,,,,,,,,,
2012-2013,02/03/13,,Wigan,Liverpool,0,4,A,0,3,A,M Atkinson,15,8,11,7,4,3,11,15,2,2,0,0,4.5,3.75,1.85,,,,,,,,,,,,
2012-2013,03/03/13,,Tottenham,Arsenal,2,1,H,2,0,H,M Clattenburg,11,10,5,6,4,6,17,13,3,1,0,0,2.3,3.6,3.25,,,,,,,,,,,,
2012-2013,04/03/13,,Aston Villa,Man City,0,1,A,0,1,A,M Dean,10,20,5,12,6,5,10,14,2,0,0,0,7.5,4.5,1.44,,,,,,,,,,,,
2012-2013,09/03/13,,Norwich,Southampton,0,0,D,0,0,D,M Clattenburg,3,15,2,7,1,7,9,10,2,3,0,0,2.5,3.4,3,,,,,,,,,,,,
2012-2013,09/03/13,,QPR,Sunderland,3,1,H,1,1,D,M Jones,15,7,8,3,4,5,4,19,0,2,0,0,2.25,3.4,3.5,,,,,,,,,,,,
2012-2013,09/03/13,,Reading,Aston Villa,1,2,A,1,2,A,J Moss,10,18,4,7,6,1,8,7,2,3,0,0,2.45,3.4,3.1,,,,,,,,,,,,
2012-2013,09/03/13,,West Brom,Swansea,2,1,H,1,1,D,L Mason,12,9,6,4,3,3,9,10,1,1,0,0,2.45,3.3,3.2,,,,,,,,,,,,
2012-2013,10/03/13,,Liverpool,Tottenham,3,2,H,1,1,D,M Oliver,10,15,4,9,1,4,9,8,1,1,0,0,1.95,3.8,4,,,,,,,,,,,,
2012-2013,10/03/13,,Newcastle,Stoke,2,1,H,0,0,D,A Marriner,14,7,6,4,14,4,10,12,1,1,0,0,1.83,3.7,4.8,,,,,,,,,,,,
2012-2013,16/03/13,,Aston Villa,QPR,3,2,H,1,1,D,K Friend,10,18,6,11,9,6,16,10,3,2,0,0,2.3,3.4,3.4,,,,,,,,,,,,
2012-2013,16/03/13,,Everton,Man City,2,0,H,1,0,H,L Probert,11,17,5,11,13,6,15,10,4,3,1,0,3.9,3.6,2.05,,,,,,,,,,,,
2012-2013,16/03/13,,Man United,Reading,1,0,H,1,0,H,L Mason,17,5,8,1,5,4,5,16,0,2,0,0,1.17,9,19,,,,,,,,,,,,
2012-2013,16/03/13,,Southampton,Liverpool,3,1,H,2,1,H,P Dowd,17,8,12,6,7,5,10,10,0,1,0,0,4.2,3.8,1.91,,,,,,,,,,,,
2012-2013,16/03/13,,Stoke,West Brom,0,0,D,0,0,D,M Dean,13,9,5,5,7,1,15,11,2,2,0,0,2.5,3.3,3.1,,,,,,,,,,,,
2012-2013,16/03/13,,Swansea,Arsenal,0,2,A,0,0,D,J Moss,9,15,2,11,3,7,2,7,1,1,0,0,3.4,3.5,2.25,,,,,,,,,,,,
2012-2013,17/03/13,,Chelsea,West Ham,2,0,H,1,0,H,M Oliver,24,15,14,9,5,5,5,14,0,2,0,0,1.4,5,9,,,,,,,,,,,,
2012-2013,17/03/13,,Sunderland,Norwich,1,1,D,1,1,D,C Foy,16,7,8,3,5,9,11,11,1,3,0,1,2.05,3.5,4,,,,,,,,,,,,
2012-2013,17/03/13,,Tottenham,Fulham,0,1,A,0,0,D,M Jones,12,6,6,2,5,5,10,5,1,1,0,0,1.5,4.5,7.5,,,,,,,,,,,,
2012-2013,17/03/13,,Wigan,Newcastle,2,1,H,1,0,H,M Halsey,13,9,10,4,7,3,7,12,1,1,0,0,2.3,3.4,3.4,,,,,,,,,,,,
2012-2013,30/03/13,,Arsenal,Reading,4,1,H,1,0,H,C Foy,23,4,14,2,11,3,9,14,0,1,0,0,1.25,6.5,15,,,,,,,,,,,,
2012-2013,30/03/13,,Everton,Stoke,1,0,H,1,0,H,M Jones,15,10,9,5,4,3,13,18,1,3,0,0,1.57,3.9,7.5,,,,,,,,,,,,
2012-2013,30/03/13,,Man City,Newcastle,4,0,H,2,0,H,N Swarbrick,19,5,11,1,9,2,6,8,0,2,0,0,1.33,5.5,11,,,,,,,,,,,,
2012-2013,30/03/13,,Southampton,Chelsea,2,1,H,2,1,H,J Moss,13,7,8,4,7,7,12,6,2,1,0,0,3.5,3.5,2.2,,,,,,,,,,,,
2012-2013,30/03/13,,Sunderland,Man United,0,1,A,0,1,A,K Friend,9,10,4,6,3,6,11,9,3,1,0,0,6,4,1.65,,,,,,,,,,,,
